,GeoFIPS,GeoName,county_name,state_alpha,year,GDP_PI
235,6089,"Shasta, CA",Shasta,CA,2001,3910434.0
236,6091,"Sierra, CA",Sierra,CA,2001,54502.0
237,6093,"Siskiyou, CA",Siskiyou,CA,2001,756910.0
238,6095,"Solano, CA",Solano,CA,2001,8633568.0
239,6097,"Sonoma, CA",Sonoma,CA,2001,14998452.0
240,6099,"Stanislaus, CA",Stanislaus,CA,2001,10282534.0
241,6101,"Sutter, CA",Sutter,CA,2001,1550620.0
242,6103,"Tehama, CA",Tehama,CA,2001,833956.0
243,6105,"Trinity, CA",Trinity,CA,2001,149230.0
244,6107,"Tulare, CA",Tulare,CA,2001,7007674.0
245,6109,"Tuolumne, CA",Tuolumne,CA,2001,1066762.0
246,6111,"Ventura, CA",Ventura,CA,2001,25067493.0
247,6113,"Yolo, CA",Yolo,CA,2001,5113164.0
248,6115,"Yuba, CA",Yuba,CA,2001,809953.0
249,8001,"Adams, CO*",Adams,CO*,2001,9681242.0
250,8003,"Alamosa, CO",Alamosa,CO,2001,304424.0
251,8005,"Arapahoe, CO",Arapahoe,CO,2001,26624330.0
252,8007,"Archuleta, CO",Archuleta,CO,2001,242952.0
253,8009,"Baca, CO",Baca,CO,2001,101013.0
254,8011,"Bent, CO",Bent,CO,2001,61993.0
255,8013,"Boulder, CO*",Boulder,CO*,2001,14279570.0
256,8014,"Broomfield, CO*",Broomfield,CO*,2001,
257,8015,"Chaffee, CO",Chaffee,CO,2001,289584.0
258,8017,"Cheyenne, CO",Cheyenne,CO,2001,98193.0
259,8019,"Clear Creek, CO",Clear Creek,CO,2001,204613.0
260,8021,"Conejos, CO",Conejos,CO,2001,71687.0
261,8023,"Costilla, CO",Costilla,CO,2001,43192.0
262,8025,"Crowley, CO",Crowley,CO,2001,99714.0
263,8027,"Custer, CO",Custer,CO,2001,66575.0
264,8029,"Delta, CO",Delta,CO,2001,448567.0
265,8031,"Denver, CO",Denver,CO,2001,37424137.0
266,8033,"Dolores, CO",Dolores,CO,2001,22270.0
267,8035,"Douglas, CO",Douglas,CO,2001,4976457.0
268,8037,"Eagle, CO",Eagle,CO,2001,2073318.0
269,8039,"Elbert, CO",Elbert,CO,2001,222113.0
270,8041,"El Paso, CO",El Paso,CO,2001,15106589.0
271,8043,"Fremont, CO",Fremont,CO,2001,564371.0
272,8045,"Garfield, CO",Garfield,CO,2001,1292246.0
273,8047,"Gilpin, CO",Gilpin,CO,2001,416919.0
274,8049,"Grand, CO",Grand,CO,2001,391697.0
275,8051,"Gunnison, CO",Gunnison,CO,2001,495548.0
276,8053,"Hinsdale, CO",Hinsdale,CO,2001,21892.0
277,8055,"Huerfano, CO",Huerfano,CO,2001,131924.0
278,8057,"Jackson, CO",Jackson,CO,2001,25480.0
279,8059,"Jefferson, CO*",Jefferson,CO*,2001,16326242.0
280,8061,"Kiowa, CO",Kiowa,CO,2001,58619.0
281,8063,"Kit Carson, CO",Kit Carson,CO,2001,194820.0
282,8065,"Lake, CO",Lake,CO,2001,100343.0
283,8067,"La Plata, CO",La Plata,CO,2001,1467851.0
284,8069,"Larimer, CO",Larimer,CO,2001,7305784.0
285,8071,"Las Animas, CO",Las Animas,CO,2001,256680.0
