,state_code,county_code,county_sub_code,cntyname,town_name,hud_areaname,fips,rent_50_0,rent_50_1,rent_50_2,rent_50_3,rent_50_4,hud_area_code,pop2023,state_alpha,year,population,cbsasub21,county,cousub,pop2017,hu2017,cbsasub20,cbsasub19,pop2010,hu2010,cbsasub18,areaname18,cbsasub,pop,fmr_area,msa,stco,fmrtype,statename,fmrarea,id_agis2,pop2020,areaname22,cbsasub22
89410,36,,,Tioga,,"Binghamton, NY",,398.0,446.0,557.0,707.0,793.0,,,NY,2003,,,107.0,,,,,,,,,,,52337.0,,960.0,,40.0,NEW YORK,960.0,,,,
89411,36,,,Erie,,"Buffalo-Niagara Falls, NY",,436.0,516.0,623.0,777.0,872.0,,,NY,2003,,,29.0,,,,,,,,,,,968532.0,,1280.0,,50.0,NEW YORK,1280.0,,,,
89412,36,,,Niagara,,"Buffalo-Niagara Falls, NY",,436.0,516.0,623.0,777.0,872.0,,,NY,2003,,,63.0,,,,,,,,,,,220756.0,,1280.0,,50.0,NEW YORK,1280.0,,,,
89413,36,,,Dutchess,,"Dutchess County, NY",,675.0,856.0,1059.0,1375.0,1607.0,,,NY,2003,,,27.0,,,,,,,,,,,259462.0,,2281.0,,40.0,NEW YORK,2281.0,,,,
89414,36,,,Chemung,,"Elmira, NY",,400.0,449.0,551.0,697.0,832.0,,,NY,2003,,,15.0,,,,,,,,,,,95195.0,,2335.0,,40.0,NEW YORK,2335.0,,,,
89415,36,,,Warren,,"Glens Falls, NY",,391.0,508.0,620.0,776.0,868.0,,,NY,2003,,,113.0,,,,,,,,,,,59209.0,,2975.0,,40.0,NEW YORK,2975.0,,,,
89416,36,,,Washington,,"Glens Falls, NY",,391.0,508.0,620.0,776.0,868.0,,,NY,2003,,,115.0,,,,,,,,,,,59330.0,,2975.0,,40.0,NEW YORK,2975.0,,,,
89417,36,,,Chautauqua,,"Jamestown, NY",,398.0,447.0,537.0,693.0,794.0,,,NY,2003,,,13.0,,,,,,,,,,,141895.0,,3610.0,,40.0,NEW YORK,3610.0,,,,
89418,36,,,Nassau,,"Nassau-Suffolk, NY",,930.0,1121.0,1367.0,1904.0,2039.0,,,NY,2003,,,59.0,,,,,,,,,,,1287348.0,,5380.0,,40.0,NEW YORK,5380.0,,,,
89419,36,,,Suffolk,,"Nassau-Suffolk, NY",,930.0,1121.0,1367.0,1904.0,2039.0,,,NY,2003,,,103.0,,,,,,,,,,,1321864.0,,5380.0,,40.0,NEW YORK,5380.0,,,,
89420,36,,,Bronx,,"New York, NY",,898.0,1001.0,1137.0,1422.0,1593.0,,,NY,2003,,,5.0,,,,,,,,,,,1203789.0,,5600.0,,40.0,NEW YORK,5600.0,,,,
89421,36,,,Kings,,"New York, NY",,898.0,1001.0,1137.0,1422.0,1593.0,,,NY,2003,,,47.0,,,,,,,,,,,2300664.0,,5600.0,,40.0,NEW YORK,5600.0,,,,
89422,36,,,New York,,"New York, NY",,898.0,1001.0,1137.0,1422.0,1593.0,,,NY,2003,,,61.0,,,,,,,,,,,1487536.0,,5600.0,,40.0,NEW YORK,5600.0,,,,
89423,36,,,Putnam,,"New York, NY",,898.0,1001.0,1137.0,1422.0,1593.0,,,NY,2003,,,79.0,,,,,,,,,,,83941.0,,5600.0,,40.0,NEW YORK,5600.0,,,,
89424,36,,,Queens,,"New York, NY",,898.0,1001.0,1137.0,1422.0,1593.0,,,NY,2003,,,81.0,,,,,,,,,,,1951598.0,,5600.0,,40.0,NEW YORK,5600.0,,,,
89425,36,,,Richmond,,"New York, NY",,898.0,1001.0,1137.0,1422.0,1593.0,,,NY,2003,,,85.0,,,,,,,,,,,378977.0,,5600.0,,40.0,NEW YORK,5600.0,,,,
89426,36,,,Rockland,,"New York, NY",,898.0,1001.0,1137.0,1422.0,1593.0,,,NY,2003,,,87.0,,,,,,,,,,,265475.0,,5600.0,,40.0,NEW YORK,5600.0,,,,
89427,36,,,Westchester,,"Westchester County, NY",,843.0,1099.0,1339.0,1739.0,2076.0,,,NY,2003,,,119.0,,,,,,,,,,,874866.0,,5601.0,,40.0,NEW YORK,5601.0,,,,
89428,36,,,Orange,,"Newburgh, NY-PA",,551.0,715.0,876.0,1111.0,1267.0,,,NY,2003,,,71.0,,,,,,,,,,,307647.0,,5660.0,,40.0,NEW YORK,5660.0,,,,
89429,36,,,Genesee,,"Rochester, NY",,423.0,550.0,668.0,857.0,937.0,,,NY,2003,,,37.0,,,,,,,,,,,60060.0,,6840.0,,40.0,NEW YORK,6840.0,,,,
89430,36,,,Livingston,,"Rochester, NY",,423.0,550.0,668.0,857.0,937.0,,,NY,2003,,,51.0,,,,,,,,,,,62372.0,,6840.0,,40.0,NEW YORK,6840.0,,,,
89431,36,,,Monroe,,"Rochester, NY",,423.0,550.0,668.0,857.0,937.0,,,NY,2003,,,55.0,,,,,,,,,,,713968.0,,6840.0,,40.0,NEW YORK,6840.0,,,,
89432,36,,,Ontario,,"Rochester, NY",,423.0,550.0,668.0,857.0,937.0,,,NY,2003,,,69.0,,,,,,,,,,,95101.0,,6840.0,,40.0,NEW YORK,6840.0,,,,
89433,36,,,Orleans,,"Rochester, NY",,423.0,550.0,668.0,857.0,937.0,,,NY,2003,,,73.0,,,,,,,,,,,41846.0,,6840.0,,40.0,NEW YORK,6840.0,,,,
89434,36,,,Wayne,,"Rochester, NY",,423.0,550.0,668.0,857.0,937.0,,,NY,2003,,,117.0,,,,,,,,,,,89123.0,,6840.0,,40.0,NEW YORK,6840.0,,,,
89435,36,,,Cayuga,,"Syracuse, NY",,420.0,507.0,628.0,801.0,889.0,,,NY,2003,,,11.0,,,,,,,,,,,82313.0,,8160.0,,40.0,NEW YORK,8160.0,,,,
89436,36,,,Madison,,"Syracuse, NY",,420.0,507.0,628.0,801.0,889.0,,,NY,2003,,,53.0,,,,,,,,,,,69120.0,,8160.0,,40.0,NEW YORK,8160.0,,,,
89437,36,,,Onondaga,,"Syracuse, NY",,420.0,507.0,628.0,801.0,889.0,,,NY,2003,,,67.0,,,,,,,,,,,468973.0,,8160.0,,40.0,NEW YORK,8160.0,,,,
89438,36,,,Oswego,,"Syracuse, NY",,420.0,507.0,628.0,801.0,889.0,,,NY,2003,,,75.0,,,,,,,,,,,121771.0,,8160.0,,40.0,NEW YORK,8160.0,,,,
89439,36,,,Herkimer,,"Utica-Rome, NY",,399.0,447.0,537.0,695.0,794.0,,,NY,2003,,,43.0,,,,,,,,,,,65797.0,,8680.0,,40.0,NEW YORK,8680.0,,,,
89440,36,,,Oneida,,"Utica-Rome, NY",,399.0,447.0,537.0,695.0,794.0,,,NY,2003,,,65.0,,,,,,,,,,,250836.0,,8680.0,,40.0,NEW YORK,8680.0,,,,
89441,36,,,Allegany,,,,399.0,447.0,537.0,695.0,794.0,,,NY,2003,,,3.0,,,,,,,,,,,50470.0,,10000.0,,40.0,NEW YORK,3600003.0,,,,
89442,36,,,Cattaraugus,,,,399.0,447.0,537.0,695.0,794.0,,,NY,2003,,,9.0,,,,,,,,,,,84234.0,,10000.0,,40.0,NEW YORK,3600009.0,,,,
